,County,City,year,U Total,U Occupied,Pop Total
331,Contra Costa,San Pablo,2011,9465.0,8690.0,29138.0
332,Contra Costa,San Pablo,2012,9476.0,8756.0,29531.0
333,Contra Costa,San Pablo,2013,9476.0,8907.0,30136.0
334,Contra Costa,San Pablo,2014,9475.0,8906.0,30448.0
335,Contra Costa,San Pablo,2015,9483.0,8861.0,30576.0
336,Contra Costa,San Pablo,2016,9526.0,9026.0,31250.0
337,Contra Costa,San Pablo,2017,9526.0,9026.0,31577.0
338,Contra Costa,San Pablo,2018,9530.0,9030.0,31737.0
339,Contra Costa,San Pablo,2019,9536.0,9036.0,31817.0
340,Contra Costa,San Ramon,2010,26222.0,25284.0,72148.0
341,Contra Costa,San Ramon,2011,26470.0,25513.0,73395.0
342,Contra Costa,San Ramon,2012,26902.0,25907.0,74977.0
343,Contra Costa,San Ramon,2013,27342.0,26331.0,76469.0
344,Contra Costa,San Ramon,2014,27492.0,26518.0,77826.0
345,Contra Costa,San Ramon,2015,27696.0,26736.0,79197.0
346,Contra Costa,San Ramon,2016,27892.0,26875.0,79899.0
347,Contra Costa,San Ramon,2017,28307.0,27276.0,81947.0
348,Contra Costa,San Ramon,2018,28599.0,27557.0,83179.0
349,Contra Costa,San Ramon,2019,28811.0,27761.0,83957.0
350,Contra Costa,Unincorporated,2010,62401.0,57706.0,159785.0
351,Contra Costa,Unincorporated,2011,62695.0,58021.0,161987.0
352,Contra Costa,Unincorporated,2012,62995.0,58393.0,164067.0
353,Contra Costa,Unincorporated,2013,63040.0,58688.0,165377.0
354,Contra Costa,Unincorporated,2014,63489.0,58924.0,167766.0
355,Contra Costa,Unincorporated,2015,63636.0,58972.0,169484.0
356,Contra Costa,Unincorporated,2016,63889.0,59418.0,171373.0
357,Contra Costa,Unincorporated,2017,64120.0,59182.0,172467.0
358,Contra Costa,Unincorporated,2018,63975.0,58898.0,172466.0
359,Contra Costa,Unincorporated,2019,64204.0,59109.0,173406.0
360,Contra Costa,Walnut Creek,2010,32681.0,30443.0,64173.0
361,Contra Costa,Walnut Creek,2011,32832.0,30612.0,65042.0
362,Contra Costa,Walnut Creek,2012,32939.0,30773.0,65767.0
363,Contra Costa,Walnut Creek,2013,32984.0,30980.0,66431.0
364,Contra Costa,Walnut Creek,2014,33008.0,30885.0,66919.0
365,Contra Costa,Walnut Creek,2015,33038.0,30856.0,67473.0
366,Contra Costa,Walnut Creek,2016,33486.0,31412.0,68920.0
367,Contra Costa,Walnut Creek,2017,33606.0,31231.0,69243.0
368,Contra Costa,Walnut Creek,2018,33679.0,31201.0,69498.0
369,Contra Costa,Walnut Creek,2019,33920.0,31424.0,70121.0
370,Marin,Belvedere,2010,1045.0,928.0,2068.0
371,Marin,Belvedere,2011,1045.0,928.0,2081.0
372,Marin,Belvedere,2012,1045.0,928.0,2104.0
373,Marin,Belvedere,2013,1046.0,928.0,2112.0
374,Marin,Belvedere,2014,1044.0,927.0,2133.0
375,Marin,Belvedere,2015,1045.0,928.0,2148.0
376,Marin,Belvedere,2016,1048.0,930.0,2160.0
377,Marin,Belvedere,2017,1047.0,929.0,2154.0
378,Marin,Belvedere,2018,1048.0,930.0,2148.0
379,Marin,Belvedere,2019,1049.0,931.0,2148.0
380,Marin,Corte Madera,2010,4026.0,3793.0,9253.0
381,Marin,Corte Madera,2011,4026.0,3795.0,9315.0
382,Marin,Corte Madera,2012,4026.0,3799.0,9433.0
383,Marin,Corte Madera,2013,4025.0,3808.0,9487.0
384,Marin,Corte Madera,2014,4026.0,3802.0,9582.0
385,Marin,Corte Madera,2015,4026.0,3799.0,9628.0
386,Marin,Corte Madera,2016,4027.0,3808.0,9684.0
387,Marin,Corte Madera,2017,4027.0,3808.0,9665.0
388,Marin,Corte Madera,2018,4207.0,3972.0,10043.0
389,Marin,Corte Madera,2019,4213.0,3978.0,10047.0
390,Marin,Fairfax,2010,3585.0,3379.0,7441.0
391,Marin,Fairfax,2011,3585.0,3371.0,7471.0
392,Marin,Fairfax,2012,3586.0,3355.0,7523.0
393,Marin,Fairfax,2013,3586.0,3355.0,7549.0
394,Marin,Fairfax,2014,3583.0,3352.0,7630.0
395,Marin,Fairfax,2015,3586.0,3371.0,7716.0
396,Marin,Fairfax,2016,3586.0,3371.0,7742.0
397,Marin,Fairfax,2017,3589.0,3374.0,7733.0
398,Marin,Fairfax,2018,3594.0,3379.0,7714.0
399,Marin,Fairfax,2019,3601.0,3386.0,7721.0
400,Marin,Incorporated,2010,81718.0,77017.0,184982.0
401,Marin,Incorporated,2011,81789.0,77087.0,186334.0
402,Marin,Incorporated,2012,81864.0,77090.0,188463.0
403,Marin,Incorporated,2013,81958.0,77471.0,190076.0
404,Marin,Incorporated,2014,82059.0,77400.0,192022.0
405,Marin,Incorporated,2015,82178.0,77439.0,193169.0
406,Marin,Incorporated,2016,82254.0,77499.0,193863.0
407,Marin,Incorporated,2017,82310.0,77552.0,193661.0
408,Marin,Incorporated,2018,82571.0,77802.0,193566.0
409,Marin,Incorporated,2019,82640.0,77868.0,193536.0
410,Marin,Larkspur,2010,6376.0,5908.0,11926.0
411,Marin,Larkspur,2011,6376.0,5903.0,11990.0
412,Marin,Larkspur,2012,6380.0,5896.0,12113.0
413,Marin,Larkspur,2013,6380.0,5896.0,12153.0
414,Marin,Larkspur,2014,6383.0,5920.0,12342.0
415,Marin,Larkspur,2015,6438.0,5981.0,12540.0
416,Marin,Larkspur,2016,6473.0,6013.0,12650.0
417,Marin,Larkspur,2017,6480.0,6020.0,12639.0
418,Marin,Larkspur,2018,6479.0,6019.0,12588.0
419,Marin,Larkspur,2019,6480.0,6020.0,12578.0
420,Marin,Mill Valley,2010,6534.0,6084.0,13903.0
421,Marin,Mill Valley,2011,6561.0,6118.0,14067.0
422,Marin,Mill Valley,2012,6591.0,6146.0,14295.0
423,Marin,Mill Valley,2013,6600.0,6204.0,14477.0
424,Marin,Mill Valley,2014,6610.0,6178.0,14583.0
425,Marin,Mill Valley,2015,6618.0,6168.0,14645.0
426,Marin,Mill Valley,2016,6628.0,6178.0,14718.0
427,Marin,Mill Valley,2017,6634.0,6183.0,14702.0
428,Marin,Mill Valley,2018,6645.0,6193.0,14669.0
429,Marin,Mill Valley,2019,6654.0,6201.0,14675.0
430,Marin,Novato,2010,21158.0,20279.0,51904.0
431,Marin,Novato,2011,21196.0,20294.0,52273.0
432,Marin,Novato,2012,21241.0,20282.0,52834.0
433,Marin,Novato,2013,21318.0,20404.0,53320.0
434,Marin,Novato,2014,21374.0,20422.0,53988.0
435,Marin,Novato,2015,21395.0,20417.0,54292.0
436,Marin,Novato,2016,21414.0,20400.0,54362.0
437,Marin,Novato,2017,21421.0,20407.0,54276.0
438,Marin,Novato,2018,21448.0,20442.0,54161.0
439,Marin,Novato,2019,21451.0,20445.0,54115.0
440,Marin,Ross,2010,884.0,798.0,2415.0
